ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
78,Pressure Cooker,2600,1982-01-01,Action,Activision,0.14,0.01,0.0,0.0
79,Q*bert,2600,1982-01-01,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01
80,RealSports Tennis,2600,1982-01-01,Sports,Atari,0.46,0.03,0.0,0.01
81,The Activision Decathlon,2600,1982-01-01,Sports,Activision,0.52,0.03,0.0,0.01
82,X-Man,2600,1982-01-01,Action,Universal Gamex,0.58,0.04,0.0,0.01
83,Yars' Revenge,2600,1982-01-01,Shooter,Atari,0.73,0.04,0.0,0.01
84,Baseball,NES,1983-01-01,Sports,Nintendo,0.73,0.1,2.35,0.02
85,Crystal Castles,2600,1983-01-01,Action,Atari,0.72,0.04,0.0,0.01
86,Dolphin,2600,1983-01-01,Action,Activision,0.27,0.02,0.0,0.0
87,Donkey Kong,NES,1983-01-01,Platform,Nintendo,0.23,0.05,0.84,0.01
88,Donkey Kong,NES,1983-01-01,Platform,Nintendo,0.23,0.05,0.84,0.01
89,Donkey Kong Jr.,NES,1983-01-01,Platform,Nintendo,0.33,0.07,0.7,0.01
90,Frogger II: Threeedeep!,2600,1983-01-01,Action,Parker Bros.,0.31,0.02,0.0,0.0
91,Frostbite,2600,1983-01-01,Action,Activision,0.32,0.02,0.0,0.0
92,Gremlins,2600,1983-01-01,Action,Atari,0.43,0.03,0.0,0.0
93,Jr. Pac-Man,2600,1983-01-01,Puzzle,Atari,0.72,0.05,0.0,0.01
94,Mahjong,NES,1983-01-01,Misc,Nintendo,0.01,0.0,2.13,0.0
95,Mario Bros.,NES,1983-01-01,Platform,Nintendo,0.51,0.12,1.63,0.02
96,Midnight Magic,2600,1983-01-01,Action,Atari,0.47,0.03,0.0,0.01
97,Millipede,2600,1983-01-01,Shooter,Atari,0.45,0.03,0.0,0.01
98,Mr. Do!'s Castle,2600,1983-01-01,Action,Parker Bros.,0.15,0.01,0.0,0.0
99,Pengo,2600,1983-01-01,Adventure,Atari,0.38,0.02,0.0,0.0
100,Pitfall II: Lost Caverns,2600,1983-01-01,Platform,Activision,1.22,0.07,0.0,0.02
101,Popeye,NES,1983-01-01,Platform,Nintendo,0.51,0.12,0.45,0.02
102,4 Nin uchi Mahjong,NES,1984-01-01,Misc,Nintendo,0.0,0.0,1.45,0.0
103,Beamrider,2600,1984-01-01,Racing,Activision,0.26,0.01,0.0,0.0
104,Clu Clu Land,NES,1984-01-01,Puzzle,Nintendo,0.42,0.1,0.28,0.02
105,Duck Hunt,NES,1984-01-01,Shooter,Nintendo,26.93,0.63,0.28,0.47
106,Excitebike,NES,1984-01-01,Racing,Nintendo,2.04,0.48,1.57,0.07
107,F1 Race,NES,1984-01-01,Racing,Nintendo,0.0,0.0,1.52,0.0
108,Golf,NES,1984-01-01,Sports,Nintendo,1.22,0.28,2.46,0.04
109,Golf,NES,1984-01-01,Sports,Nintendo,1.22,0.28,2.46,0.04
110,Hogan's Alley,NES,1984-01-01,Shooter,Nintendo,0.68,0.16,0.41,0.02
111,Lode Runner,NES,1984-01-01,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0
112,Mappy,NES,1984-01-01,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0
113,Pac-Man,NES,1984-01-01,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02
114,Pinball,NES,1984-01-01,Action,Nintendo,0.8,0.19,0.83,0.03
115,Tennis,NES,1984-01-01,Sports,Nintendo,0.48,0.11,1.56,0.02
116,Xevious,NES,1984-01-01,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01
117,1942,NES,1985-01-01,Shooter,Capcom,0.65,0.14,0.21,0.0
118,Alter Ego,PC,1985-01-01,Simulation,Activision,0.0,0.03,0.0,0.01
119,Balloon Fight,NES,1985-01-01,Platform,Nintendo,0.39,0.09,0.43,0.01
120,Bomberman,NES,1985-01-01,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0
121,Dig Dug,NES,1985-01-01,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0
122,Ghostbusters,2600,1985-01-01,Puzzle,Activision,0.42,0.03,0.0,0.0
123,Gyromite,NES,1985-01-01,Puzzle,Nintendo,0.73,0.16,0.4,0.03
124,Ice Climber,NES,1985-01-01,Platform,Nintendo,0.46,0.1,0.92,0.02
125,Kung Fu,NES,1985-01-01,Action,Nintendo,1.64,0.38,1.42,0.06
126,Soccer,NES,1985-01-01,Sports,Nintendo,0.18,0.23,1.53,0.02
127,Strongest Tokyo University Shogi DS,DS,1985-01-01,Action,Mycom,0.0,0.0,0.02,0.0
128,Super Mario Bros.,NES,1985-01-01,Platform,Nintendo,29.08,3.58,6.81,0.77
129,Tag Team Match M.U.S.C.L.E.,NES,1985-01-01,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0
130,Wrecking Crew,NES,1985-01-01,Platform,Nintendo,0.0,0.0,0.51,0.0
131,Adventure Island,NES,1986-01-01,Platform,Hudson Soft,0.0,0.0,1.05,0.0
132,Castlevania,NES,1986-01-01,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01
133,Commando,NES,1986-01-01,Action,Capcom,0.71,0.16,0.25,0.03
134,Doraemon,NES,1986-01-01,Action,Hudson Soft,0.0,0.0,1.15,0.0
135,Dragon Warrior,NES,1986-01-01,Role-Playing,Capcom,0.49,0.0,0.52,1.51
136,Ganbare Goemon! Karakuri Douchuu,NES,1986-01-01,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0
137,Ghosts 'n Goblins,NES,1986-01-01,Action,Capcom,0.74,0.26,0.61,0.03
138,Gradius,NES,1986-01-01,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01
139,Kid Icarus,NES,1986-01-01,Platform,Nintendo,0.53,0.12,1.09,0.02
140,Metroid,NES,1986-01-01,Action,Nintendo,1.33,0.31,1.04,0.05
141,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986-01-01,Platform,Hudson Soft,0.0,0.0,1.5,0.0
142,Pro Yakyuu Family Stadium,NES,1986-01-01,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0
143,Rad Racer,NES,1986-01-01,Racing,Nintendo,1.13,0.37,0.41,0.05
144,RealSports Boxing,2600,1986-01-01,Sports,Atari,0.28,0.02,0.0,0.0
145,Solaris,2600,1986-01-01,Shooter,Atari,0.35,0.02,0.0,0.0
146,Star Soldier,NES,1986-01-01,Shooter,Hudson Soft,0.32,0.06,0.57,0.01
147,Super Mario Bros.: The Lost Levels,NES,1986-01-01,Platform,Nintendo,0.0,0.0,2.65,0.0
148,The Legend of Zelda,NES,1986-01-01,Action,Nintendo,3.74,0.93,1.69,0.14
149,The Mysterious Murasame Castle,NES,1986-01-01,Action,Nintendo,0.0,0.0,0.57,0.0
150,TwinBee,NES,1986-01-01,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0
151,World Class Track Meet,NES,1986-01-01,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07
152,Castlevania II: Simon's Quest,NES,1987-01-01,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0
153,Commando,2600,1987-01-01,Action,Activision,0.44,0.02,0.0,0.0
154,Defender II,2600,1987-01-01,Shooter,Atari,0.42,0.02,0.0,0.0
155,Desert Falcon,2600,1987-01-01,Shooter,Atari,0.24,0.01,0.0,0.0
156,Dragon Warrior II,NES,1987-01-01,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0
157,Final Fantasy,NES,1987-01-01,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0
158,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0
159,Kung-Fu Master,2600,1987-01-01,Action,Activision,0.6,0.04,0.0,0.01
160,Mega Man,NES,1987-01-01,Platform,Capcom,0.45,0.08,0.27,0.01
161,Mike Tyson's Punch-Out!!,NES,1987-01-01,Fighting,Nintendo,2.03,0.47,0.45,0.07
162,Pro Wrestling,NES,1987-01-01,Fighting,Nintendo,0.77,0.18,1.42,0.03
163,Pro Yakyuu Family Stadium '87,NES,1987-01-01,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0
164,Super Baseball,2600,1987-01-01,Sports,Atari,0.07,0.0,0.0,0.0
165,Super Football,2600,1987-01-01,Sports,Atari,0.07,0.0,0.0,0.0
166,Volleyball,NES,1987-01-01,Sports,Nintendo,0.14,0.03,1.98,0.0
167,Zelda II: The Adventure of Link,NES,1987-01-01,Adventure,Nintendo,2.19,0.5,1.61,0.08
168,Disney's DuckTales,GB,1988-01-01,Platform,Capcom,0.82,0.23,0.35,0.03
169,Disney's DuckTales,GB,1988-01-01,Platform,Capcom,0.82,0.23,0.35,0.03
170,Donkey Kong Classics,NES,1988-01-01,Platform,Nintendo,0.59,0.14,0.81,0.02
171,Dragon Ball: Daimaou Fukkatsu,NES,1988-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0
172,Dragon Warrior III,NES,1988-01-01,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0
173,Final Fantasy II,NES,1988-01-01,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0
174,Ice Hockey,NES,1988-01-01,Sports,Nintendo,1.27,0.32,0.78,0.05
175,Mega Man 2,NES,1988-01-01,Action,Capcom,0.93,0.15,0.42,0.01
176,Pro Yakyuu Family Stadium '88,NES,1988-01-01,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0
177,R.C. Pro-Am,NES,1988-01-01,Racing,Nintendo,1.47,0.38,0.19,0.1
178,Rampage,2600,1988-01-01,Action,Activision,0.22,0.01,0.0,0.0
179,River Raid II,2600,1988-01-01,Shooter,Activision,0.47,0.03,0.0,0.01
180,SimCity,PC,1988-01-01,Simulation,Maxis,0.0,0.02,0.0,0.01
181,Super Mario Bros. 2,NES,1988-01-01,Platform,Nintendo,5.39,1.18,0.7,0.19
182,Super Mario Bros. 3,NES,1988-01-01,Platform,Nintendo,9.54,3.44,3.84,0.46
183,Tetris,NES,1988-01-01,Puzzle,Nintendo,2.97,0.69,1.81,0.11
184,Tetris,NES,1988-01-01,Puzzle,Nintendo,2.97,0.69,1.81,0.11
185,Adventures of Lolo,NES,1989-01-01,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0
186,Alleyway,GB,1989-01-01,Puzzle,Nintendo,0.96,0.38,0.55,0.05
187,Baseball,GB,1989-01-01,Sports,Nintendo,0.66,0.27,0.65,0.03
188,Castlevania III: Dracula's Curse,NES,1989-01-01,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01
189,Disney's DuckTales,NES,1989-01-01,Platform,Capcom,0.91,0.3,0.42,0.04
190,Disney's DuckTales,NES,1989-01-01,Platform,Capcom,0.91,0.3,0.42,0.04
191,Double Dragon,2600,1989-01-01,Action,Activision,0.45,0.02,0.0,0.01
192,Dr. Mario,GB,1989-01-01,Puzzle,Nintendo,2.18,0.96,2.0,0.2
193,Dr. Mario,GB,1989-01-01,Puzzle,Nintendo,2.18,0.96,2.0,0.2
194,Famicom Jump: Eiyuu Retsuden,NES,1989-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0
195,Golf,GB,1989-01-01,Sports,Nintendo,0.83,0.33,0.92,0.04
196,Golf,GB,1989-01-01,Sports,Nintendo,0.83,0.33,0.92,0.04
197,Klax,2600,1989-01-01,Puzzle,Atari,0.14,0.01,0.0,0.0
198,SolarStriker,GB,1989-01-01,Shooter,Nintendo,0.4,0.39,0.36,0.04
199,Super Mario Land,GB,1989-01-01,Platform,Nintendo,10.83,2.71,4.18,0.42
200,Teenage Mutant Ninja Turtles,NES,1989-01-01,Action,Palcom,3.38,0.44,0.31,0.04
201,Teenage Mutant Ninja Turtles,NES,1989-01-01,Action,Palcom,3.38,0.44,0.31,0.04
202,Tennis,GB,1989-01-01,Sports,Nintendo,0.75,0.3,0.9,0.04
203,Tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58
204,Tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58
205,The Final Fantasy Legend,GB,1989-01-01,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0
206,Yakuman,GB,1989-01-01,Misc,Nintendo,0.0,0.0,1.28,0.0
207,Disney's Chip 'n Dale: Rescue Rangers,NES,1990-01-01,Platform,Capcom,0.68,0.14,0.35,0.02
208,Dr. Mario,NES,1990-01-01,Puzzle,Nintendo,2.62,0.6,1.52,0.1
209,Dr. Mario,NES,1990-01-01,Puzzle,Nintendo,2.62,0.6,1.52,0.1
210,Dragon Warrior IV,NES,1990-01-01,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01
211,Extra Bases,GB,1990-01-01,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0
212,F-1 Race,GB,1990-01-01,Racing,Nintendo,1.73,0.69,0.59,0.4
213,F-Zero,SNES,1990-01-01,Racing,Nintendo,1.37,0.51,0.89,0.07
214,Famista '91,NES,1990-01-01,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0
215,Final Fantasy III,NES,1990-01-01,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01
216,Final Fantasy III,NES,1990-01-01,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01
217,Final Fantasy III,NES,1990-01-01,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01
218,Final Fight,SNES,1990-01-01,Action,Capcom,0.67,0.17,0.69,0.03
219,Mega Man 3,NES,1990-01-01,Platform,Capcom,0.68,0.1,0.39,0.0
220,Nintendo World Cup,NES,1990-01-01,Sports,Nintendo,0.28,0.5,0.65,0.05
221,Pilotwings,SNES,1990-01-01,Simulation,Nintendo,0.46,0.17,0.48,0.02
222,Qix,GB,1990-01-01,Puzzle,Nintendo,0.51,0.2,0.41,0.03
223,Streets of Rage,GEN,1990-01-01,Action,Sega,1.86,0.55,0.11,0.08
224,Super Mario World,SNES,1990-01-01,Platform,Nintendo,12.78,3.75,3.54,0.55
225,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990-01-01,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03
226,Battle Commander: Hachibushu Shura no Heihou,SNES,1991-01-01,Strategy,Banpresto,0.0,0.0,0.18,0.0
227,Battle Dodge Ball,SNES,1991-01-01,Sports,Banpresto,0.0,0.0,0.33,0.0
228,Bomberman II,NES,1991-01-01,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1
229,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991-01-01,Misc,Epoch,0.0,0.0,0.08,0.0
230,Famista '92,NES,1991-01-01,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0
231,Final Fantasy Adventure,GB,1991-01-01,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0
232,Final Fantasy II,SNES,1991-01-01,Role-Playing,Square,0.24,0.09,1.33,0.12
233,Final Fantasy Legend III,GB,1991-01-01,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0
234,GameBoy Wars,GB,1991-01-01,Strategy,Nintendo,0.0,0.0,0.18,0.0
235,John Madden Football,SNES,1991-01-01,Sports,Imagineer,0.0,0.0,0.07,0.0
236,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0
237,Lagoon,SNES,1991-01-01,Role-Playing,Kemco,0.0,0.0,0.05,0.0
238,Lord of Darkness,SNES,1991-01-01,Action,Tecmo Koei,0.0,0.0,0.28,0.0
239,Mega Man 4,NES,1991-01-01,Platform,Capcom,0.51,0.09,0.32,0.01
240,Mega Man II,GB,1991-01-01,Platform,Nintendo,0.0,0.0,0.28,0.0
241,Mega Man: Dr. Wily's Revenge,GB,1991-01-01,Platform,Nintendo,0.0,0.0,0.28,0.0
242,Metroid II: Return of Samus,GB,1991-01-01,Adventure,Nintendo,0.85,0.31,0.56,0.04
243,NES Open Tournament Golf,NES,1991-01-01,Sports,Nintendo,0.41,0.1,0.47,0.02
244,Romance of the Three Kingdoms II,SNES,1991-01-01,Strategy,Tecmo Koei,0.0,0.0,0.25,0.0
245,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991-01-01,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0
246,SimCity,SNES,1991-01-01,Simulation,Nintendo,0.93,0.27,0.75,0.04
247,SimEarth: The Living Planet,SNES,1991-01-01,Simulation,Imagineer,0.0,0.0,0.16,0.0
248,Sonic the Hedgehog,GEN,1991-01-01,Platform,Sega,3.03,0.91,0.26,0.13
249,Sonic the Hedgehog,GEN,1991-01-01,Platform,Sega,3.03,0.91,0.26,0.13
250,Sonic the Hedgehog,GEN,1991-01-01,Platform,Sega,3.03,0.91,0.26,0.13
251,Super Baseball Simulator 1.000,SNES,1991-01-01,Sports,Culture Brain,0.0,0.0,0.2,0.0
252,Super Castlevania IV,SNES,1991-01-01,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01
253,Super Fire ProWrestling,SNES,1991-01-01,Fighting,Human Entertainment,0.0,0.0,0.39,0.0
254,Super Ghouls 'n Ghosts,SNES,1991-01-01,Platform,Capcom,0.5,0.14,0.52,0.02
255,Super R-Type,SNES,1991-01-01,Shooter,Nintendo,0.0,0.0,0.23,0.0
256,Super R.C. Pro-Am,GB,1991-01-01,Racing,Nintendo,0.58,0.37,0.15,0.04
257,Super Scope 6,SNES,1991-01-01,Shooter,Nintendo,1.06,0.38,0.15,0.05
258,Super Soccer,SNES,1991-01-01,Sports,Nintendo,0.0,0.0,0.38,0.0
259,Super Wagyan Land,SNES,1991-01-01,Action,Namco Bandai Games,0.0,0.0,0.42,0.0
260,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991-01-01,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0
261,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991-01-01,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02
262,Tetris 2 + Bombliss,NES,1991-01-01,Puzzle,BPS,0.0,0.0,0.32,0.0
263,The Legend of Zelda: A Link to the Past,SNES,1991-01-01,Action,Nintendo,2.42,0.91,1.15,0.13
264,The Legend of Zelda: A Link to the Past,SNES,1991-01-01,Action,Nintendo,2.42,0.91,1.15,0.13
265,The Legend of the Mystical Ninja,SNES,1991-01-01,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0
266,UN Squadron,SNES,1991-01-01,Shooter,Capcom,0.0,0.0,0.12,0.0
267,World League Soccer,SNES,1991-01-01,Sports,Imagineer,0.0,0.0,0.15,0.0
268,Yoshi,NES,1991-01-01,Puzzle,Nintendo,0.7,0.13,0.91,0.01
269,Yoshi,GB,1991-01-01,Puzzle,Nintendo,0.0,0.0,0.73,0.0
270,Battle Soccer: Field no Hasha,SNES,1992-01-01,Sports,Banpresto,0.0,0.0,0.16,0.0
271,Contra III: The Alien Wars,SNES,1992-01-01,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0
272,Doom,PC,1992-01-01,Shooter,id Software,0.02,0.0,0.0,0.0
273,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0
274,Dragon Quest V: Tenkuu no Hanayome,SNES,1992-01-01,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01
275,Dragon Slayer: The Legend of Heroes,SNES,1992-01-01,Role-Playing,Epoch,0.0,0.0,0.07,0.0
276,Ecco the Dolphin,GEN,1992-01-01,Adventure,Sega,0.0,0.0,0.12,0.0
277,Empire Deluxe,PC,1992-01-01,Strategy,New World Computing,0.02,0.0,0.0,0.0
278,F-1 Grand Prix,SNES,1992-01-01,Racing,Video System,0.0,0.0,0.28,0.0
279,F1 ROC: Race of Champions,SNES,1992-01-01,Sports,Ocean,0.0,0.0,0.28,0.0
280,Fatal Fury,SNES,1992-01-01,Fighting,Takara,0.0,0.0,0.39,0.0
281,Final Fantasy V,SNES,1992-01-01,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02
282,Gunstar Heroes,GEN,1992-01-01,Shooter,Sega,0.0,0.0,0.13,0.0
283,Kirby's Dream Land,GB,1992-01-01,Platform,Nintendo,2.71,0.61,1.7,0.11
284,Kirby's Pinball Land,GB,1992-01-01,Misc,Nintendo,0.87,0.17,1.1,0.05
285,Mario Paint,SNES,1992-01-01,Misc,Nintendo,1.43,0.54,0.71,0.07
286,Mega Man 5,NES,1992-01-01,Platform,Capcom,0.39,0.07,0.32,0.01
287,Mortal Kombat,GEN,1992-01-01,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09
